,chemical,DirectEvidence,disease,pubchem_compound_id
139551,protocatechuic aldehyde,therapeutic,Cataract,8768.0
139575,protocatechuic aldehyde,therapeutic,Diabetes Complications,8768.0
139713,protocatechuic aldehyde,therapeutic,Pulmonary Fibrosis,8768.0
140648,vanillin,therapeutic,Chromosome Breakage,1183.0
140972,vanillin,therapeutic,Drug-Induced Liver Injury,1183.0
141108,vanillin,therapeutic,Fatty Liver,1183.0
141472,vanillin,therapeutic,Hypercholesterolemia,1183.0
141500,vanillin,therapeutic,Hyperlipoproteinemias,1183.0
141592,vanillin,therapeutic,Hypertriglyceridemia,1183.0
142004,vanillin,therapeutic,Liver Neoplasms,1183.0
142372,vanillin,therapeutic,Necrosis,1183.0
143848,ferulaldehyde,therapeutic,Edema,9984.0
145034,coumarin,therapeutic,"Diabetes Mellitus, Type 2",323.0
145065,coumarin,therapeutic,Drug-Induced Liver Injury,323.0
145352,coumarin,therapeutic,Kidney Diseases,323.0
145995,coumarin,therapeutic,Venous Insufficiency,323.0
146585,esculetin,therapeutic,"Colitis, Ulcerative",5281416.0
146765,esculetin,therapeutic,Diarrhea,5281416.0
146881,esculetin,therapeutic,Fatty Liver,5281416.0
147023,esculetin,therapeutic,Hepatomegaly,5281416.0
147237,esculetin,therapeutic,Kidney Diseases,5281416.0
148369,esculetin,therapeutic,Ventricular Fibrillation,5281416.0
148389,esculin,therapeutic,Stomach Diseases,5281417.0
148820,scopoletin,therapeutic,Hepatomegaly,5280460.0
148994,scopoletin,therapeutic,"Liver Cirrhosis, Experimental",5280460.0
149484,umbelliferone,therapeutic,Cardiomegaly,5281426.0
149570,umbelliferone,therapeutic,Glucose Intolerance,5281426.0
149587,umbelliferone,therapeutic,Hyperglycemia,5281426.0
149597,umbelliferone,therapeutic,Hypertriglyceridemia,5281426.0
149598,umbelliferone,therapeutic,"Hypertrophy, Left Ventricular",5281426.0
150108,anethole,therapeutic,"Carcinoma, Ehrlich Tumor",637563.0
150471,anethole,therapeutic,Gastrointestinal Diseases,637563.0
150702,anethole,therapeutic,Inflammation,637563.0
151086,anethole,therapeutic,Neoplasm Metastasis,637563.0
151248,anethole,therapeutic,Paralysis,637563.0
151497,anethole,therapeutic,Stomach Ulcer,637563.0
151530,anethole,therapeutic,Thrombosis,637563.0
151659,estragole,therapeutic,Edema,8815.0
153118,eugenol,therapeutic,Breast Neoplasms,3314.0
155110,eugenol,therapeutic,Drug-Induced Liver Injury,3314.0
155953,eugenol,therapeutic,Heart Diseases,3314.0
156088,eugenol,therapeutic,Hemolysis,3314.0
156286,eugenol,therapeutic,Hyperalgesia,3314.0
156820,eugenol,therapeutic,Inflammation,3314.0
158146,eugenol,therapeutic,Melanoma,3314.0
158797,eugenol,therapeutic,Neoplasm Invasiveness,3314.0
158872,eugenol,therapeutic,Neoplasm Metastasis,3314.0
159007,eugenol,therapeutic,"Neoplasms, Experimental",3314.0
159070,eugenol,therapeutic,"Neovascularization, Pathologic",3314.0
159100,eugenol,therapeutic,Nerve Degeneration,3314.0
159574,eugenol,therapeutic,Pain,3314.0
159595,eugenol,therapeutic,"Pain, Postoperative",3314.0
159697,eugenol,therapeutic,Parkinson Disease,3314.0
160426,eugenol,therapeutic,"Radiation Injuries, Experimental",3314.0
160660,eugenol,therapeutic,"Salmonella Infections, Animal",3314.0
160915,eugenol,therapeutic,Skin Neoplasms,3314.0
160978,eugenol,therapeutic,Spasm,3314.0
161041,eugenol,therapeutic,Staphylococcal Infections,3314.0
161101,eugenol,therapeutic,Stomach Neoplasms,3314.0
161173,eugenol,therapeutic,Stomach Ulcer,3314.0
161524,eugenol,therapeutic,Urticaria,3314.0
161545,eugenol,therapeutic,Uterine Cervical Neoplasms,3314.0
161955,[6]-gingerol,therapeutic,Breast Neoplasms,42675.0
162492,[6]-gingerol,therapeutic,Glucose Intolerance,42675.0
162584,[6]-gingerol,therapeutic,Hyperglycemia,42675.0
163477,[6]-gingerol,therapeutic,Skin Neoplasms,42675.0
163622,[6]-gingerol,therapeutic,Weight Gain,42675.0
163629,[6]-gingerol,therapeutic,Weight Loss,42675.0
163983,guaiacol,therapeutic,Pain,460.0
175678,coumestrol,therapeutic,Prostatic Neoplasms,5281707.0
177064,phenol,therapeutic,Bone Neoplasms,996.0
177066,phenol,therapeutic,Bowen's Disease,996.0
177306,phenol,therapeutic,Cystitis,996.0
177579,phenol,therapeutic,Hematuria,996.0
177589,phenol,therapeutic,Hemorrhage,996.0
177772,phenol,therapeutic,"Keratosis, Actinic",996.0
178216,phenol,therapeutic,Pain,996.0
178252,phenol,therapeutic,Pilonidal Sinus,996.0
178451,phenol,therapeutic,Spermatocele,996.0
178498,phenol,therapeutic,Testicular Hydrocele,996.0
178522,phenol,therapeutic,Trigeminal Neuralgia,996.0
178559,phenol,therapeutic,Warts,996.0
181304,carnosic acid,therapeutic,"Carcinoma, Squamous Cell",65126.0
181517,carnosic acid,therapeutic,"Dyskinesia, Drug-Induced",65126.0
181678,carnosic acid,therapeutic,Hyperplasia,65126.0
181937,carnosic acid,therapeutic,Mouth Neoplasms,65126.0
182011,carnosic acid,therapeutic,"Neoplasms, Experimental",65126.0
182036,carnosic acid,therapeutic,Neurobehavioral Manifestations,65126.0
182447,carvacrol,therapeutic,Bacteremia,10364.0
182622,carvacrol,therapeutic,Hyperalgesia,10364.0
182683,carvacrol,therapeutic,Leukocyte Disorders,10364.0
182748,carvacrol,therapeutic,Necrosis,10364.0
182783,carvacrol,therapeutic,Pain,10364.0
182943,thymol,therapeutic,Aspergillosis,6989.0
183082,thymol,therapeutic,Edema,6989.0
183243,thymol,therapeutic,Necrosis,6989.0
183361,thymol,therapeutic,Ulcer,6989.0
184873,hydroxytyrosol,therapeutic,Diabetic Nephropathies,82755.0
184997,hydroxytyrosol,therapeutic,Dyslipidemias,82755.0
185249,hydroxytyrosol,therapeutic,Heart Diseases,82755.0
185469,hydroxytyrosol,therapeutic,Hyperglycemia,82755.0
186041,hydroxytyrosol,therapeutic,Liver Diseases,82755.0
188315,ligstroside,therapeutic,Drug-Related Side Effects and Adverse Reactions,75492723.0
188316,oleuropein,therapeutic,Drug-Related Side Effects and Adverse Reactions,5281544.0
188353,ligstroside,therapeutic,Fatty Liver,75492723.0
188354,oleuropein,therapeutic,Fatty Liver,5281544.0
188401,ligstroside,therapeutic,Heart Diseases,75492723.0
188402,oleuropein,therapeutic,Heart Diseases,5281544.0
188435,ligstroside,therapeutic,Hepatomegaly,75492723.0
188436,oleuropein,therapeutic,Hepatomegaly,5281544.0
188459,ligstroside,therapeutic,Hypercholesterolemia,75492723.0
188460,oleuropein,therapeutic,Hypercholesterolemia,5281544.0
188479,ligstroside,therapeutic,Hyperlipidemias,75492723.0
188480,oleuropein,therapeutic,Hyperlipidemias,5281544.0
188515,ligstroside,therapeutic,Hypertriglyceridemia,75492723.0
188516,oleuropein,therapeutic,Hypertriglyceridemia,5281544.0
189169,ligstroside,therapeutic,Weight Gain,75492723.0
189170,oleuropein,therapeutic,Weight Gain,5281544.0
190002,2-hydroxybenzoic acid,therapeutic,Atherosclerosis,338.0
190662,2-hydroxybenzoic acid,therapeutic,Hearing Loss,338.0
191154,2-hydroxybenzoic acid,therapeutic,Memory Disorders,338.0
191852,2-hydroxybenzoic acid,therapeutic,Warts,338.0
192097,ellagic acid,therapeutic,"Abnormalities, Drug-Induced",5281855.0
193399,ellagic acid,therapeutic,"Cell Transformation, Neoplastic",5281855.0
194338,ellagic acid,therapeutic,"Fatty Liver, Alcoholic",5281855.0
194839,ellagic acid,therapeutic,Hyperglycemia,5281855.0
194878,ellagic acid,therapeutic,Hyperplasia,5281855.0
195103,ellagic acid,therapeutic,"Infertility, Male",5281855.0
195280,ellagic acid,therapeutic,Kidney Diseases,5281855.0
196216,ellagic acid,therapeutic,Myocardial Infarction,5281855.0
196567,ellagic acid,therapeutic,Neurobehavioral Manifestations,5281855.0
197242,ellagic acid,therapeutic,Proteinuria,5281855.0
197401,ellagic acid,therapeutic,Reperfusion Injury,5281855.0
197659,ellagic acid,therapeutic,Skin Neoplasms,5281855.0
197878,ellagic acid,therapeutic,Sunburn,5281855.0
197899,ellagic acid,therapeutic,Testicular Diseases,5281855.0
198013,ellagic acid,therapeutic,Urinary Bladder Neoplasms,5281855.0
198165,gallic acid,therapeutic,Acute Kidney Injury,370.0
198817,gallic acid,therapeutic,Diabetes Mellitus,370.0
198824,gallic acid,therapeutic,"Diabetes Mellitus, Experimental",370.0
198936,gallic acid,therapeutic,Dyslipidemias,370.0
198993,gallic acid,therapeutic,Fatty Liver,370.0
199012,gallic acid,therapeutic,Fibrosis,370.0
199071,gallic acid,therapeutic,Glucose Intolerance,370.0
199089,gallic acid,therapeutic,Heart Diseases,370.0
199184,gallic acid,therapeutic,Hypercholesterolemia,370.0
199194,gallic acid,therapeutic,Hyperglycemia,370.0
199201,gallic acid,therapeutic,Hyperlipidemias,370.0
199257,gallic acid,therapeutic,Hypertriglyceridemia,370.0
199343,gallic acid,therapeutic,Ischemia,370.0
199420,gallic acid,therapeutic,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",370.0
199601,gallic acid,therapeutic,"Melanoma, Experimental",370.0
199649,gallic acid,therapeutic,Movement Disorders,370.0
199676,gallic acid,therapeutic,Myocardial Infarction,370.0
199740,gallic acid,therapeutic,Neoplasm Invasiveness,370.0
199763,gallic acid,therapeutic,Neoplasm Metastasis,370.0
199890,gallic acid,therapeutic,Osteosarcoma,370.0
199914,gallic acid,therapeutic,Pancreatic Diseases,370.0
200127,gallic acid,therapeutic,Reperfusion Injury,370.0
200289,gallic acid,therapeutic,Stomach Ulcer,370.0
201669,punicalagin,therapeutic,"Arthritis, Experimental",16129869.0
201726,punicalagin,therapeutic,Inflammation,16129869.0
202266,3-caffeoylquinic acid,therapeutic,Amnesia,9476.0
202267,5-caffeoylquinic acid,therapeutic,Amnesia,12310830.0
203254,3-caffeoylquinic acid,therapeutic,"Dilatation, Pathologic",9476.0
203255,5-caffeoylquinic acid,therapeutic,"Dilatation, Pathologic",12310830.0
203290,3-caffeoylquinic acid,therapeutic,Drug-Induced Liver Injury,9476.0
203291,5-caffeoylquinic acid,therapeutic,Drug-Induced Liver Injury,12310830.0
203814,3-caffeoylquinic acid,therapeutic,Hypercholesterolemia,9476.0
203815,5-caffeoylquinic acid,therapeutic,Hypercholesterolemia,12310830.0
203850,3-caffeoylquinic acid,therapeutic,Hyperlipoproteinemias,9476.0
203851,5-caffeoylquinic acid,therapeutic,Hyperlipoproteinemias,12310830.0
203954,3-caffeoylquinic acid,therapeutic,Hypertriglyceridemia,9476.0
203955,5-caffeoylquinic acid,therapeutic,Hypertriglyceridemia,12310830.0
203970,3-caffeoylquinic acid,therapeutic,Hypoalphalipoproteinemias,9476.0
203971,5-caffeoylquinic acid,therapeutic,Hypoalphalipoproteinemias,12310830.0
204506,3-caffeoylquinic acid,therapeutic,Melanoma,9476.0
204507,5-caffeoylquinic acid,therapeutic,Melanoma,12310830.0
204728,3-caffeoylquinic acid,therapeutic,Necrosis,9476.0
204729,5-caffeoylquinic acid,therapeutic,Necrosis,12310830.0
205792,3-caffeoylquinic acid,therapeutic,Weight Loss,9476.0
205793,5-caffeoylquinic acid,therapeutic,Weight Loss,12310830.0
205989,caffeic acid,therapeutic,Atherosclerosis,689043.0
206049,caffeic acid,therapeutic,Brain Injuries,689043.0
206432,caffeic acid,therapeutic,Drug-Induced Liver Injury,689043.0
206458,caffeic acid,therapeutic,Edema,689043.0
206765,caffeic acid,therapeutic,Inflammation,689043.0
206837,caffeic acid,therapeutic,Learning Disorders,689043.0
206994,caffeic acid,therapeutic,Melanoma,689043.0
207005,caffeic acid,therapeutic,Memory Disorders,689043.0
207069,caffeic acid,therapeutic,Myocardial Infarction,689043.0
207158,caffeic acid,therapeutic,Nerve Degeneration,689043.0
208523,ferulic acid,therapeutic,Atherosclerosis,709.0
208757,ferulic acid,therapeutic,Carbon Tetrachloride Poisoning,709.0
209798,ferulic acid,therapeutic,Hyperinsulinism,709.0
209840,ferulic acid,therapeutic,Hypertension,709.0
209960,ferulic acid,therapeutic,Inflammation,709.0
210194,ferulic acid,therapeutic,"Liver Cirrhosis, Experimental",709.0
210425,ferulic acid,therapeutic,Melanoma,709.0
210530,ferulic acid,therapeutic,Myocardial Infarction,709.0
211223,ferulic acid,therapeutic,Seizures,709.0
211559,isoferulic acid,therapeutic,Amnesia,736186.0
211787,p-coumaric acid,therapeutic,Cardiotoxicity,322.0
212250,p-coumaric acid,therapeutic,Melanoma,322.0
212356,p-coumaric acid,therapeutic,Obesity,322.0
212671,sinapic acid,therapeutic,Amnesia,10743.0
212719,sinapic acid,therapeutic,Anoxia,10743.0
212863,sinapic acid,therapeutic,Brain Injuries,10743.0
213283,sinapic acid,therapeutic,Drug-Induced Liver Injury,10743.0
213315,sinapic acid,therapeutic,Edema,10743.0
217702,verbascoside,therapeutic,Inflammation,5281800.0
218032,verbascoside,therapeutic,Leukemia,5281800.0
220332,verbascoside,therapeutic,Skin Neoplasms,5281800.0
220877,verbascoside,therapeutic,Wounds and Injuries,5281800.0
222375,homovanillic acid,therapeutic,Stereotypic Movement Disorder,1738.0
222825,dihydrocaffeic acid,therapeutic,Melanoma,348154.0
223054,piceatannol,therapeutic,Anaphylaxis,4813.0
223416,piceatannol,therapeutic,Breast Neoplasms,4813.0
223804,piceatannol,therapeutic,"Cell Transformation, Neoplastic",4813.0
223942,piceatannol,therapeutic,Colitis,4813.0
224330,piceatannol,therapeutic,Drug Eruptions,4813.0
224626,piceatannol,therapeutic,Glucose Intolerance,4813.0
225076,piceatannol,therapeutic,Inflammation,4813.0
225602,piceatannol,therapeutic,"Mammary Neoplasms, Experimental",4813.0
225918,piceatannol,therapeutic,Neoplasm Invasiveness,4813.0
225952,piceatannol,therapeutic,Neoplasm Metastasis,4813.0
225992,piceatannol,therapeutic,Neoplasms,4813.0
226104,piceatannol,therapeutic,Neurotoxicity Syndromes,4813.0
226476,piceatannol,therapeutic,Prostatic Neoplasms,4813.0
227004,piceatannol,therapeutic,Thrombosis,4813.0
227355,pinosylvin,therapeutic,Colorectal Neoplasms,100754.0
227713,pterostilbene,therapeutic,Aberrant Crypt Foci,5281727.0
227778,pterostilbene,therapeutic,Adenoma,5281727.0
228053,pterostilbene,therapeutic,Breast Neoplasms,5281727.0
228155,pterostilbene,therapeutic,"Carcinoma, Hepatocellular",5281727.0
228290,pterostilbene,therapeutic,"Cell Transformation, Neoplastic",5281727.0
228385,pterostilbene,therapeutic,Colonic Neoplasms,5281727.0
228408,pterostilbene,therapeutic,Colorectal Neoplasms,5281727.0
228500,pterostilbene,therapeutic,"Diabetes Mellitus, Experimental",5281727.0
228575,pterostilbene,therapeutic,"Disease Models, Animal",5281727.0
228784,pterostilbene,therapeutic,Glucose Intolerance,5281727.0
228923,pterostilbene,therapeutic,Hyperglycemia,5281727.0
229003,pterostilbene,therapeutic,Hyperuricemia,5281727.0
229052,pterostilbene,therapeutic,Inflammation,5281727.0
229124,pterostilbene,therapeutic,Kidney Diseases,5281727.0
229182,pterostilbene,therapeutic,Leukemia,5281727.0
229197,pterostilbene,therapeutic,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",5281727.0
229606,pterostilbene,therapeutic,Neoplasm Invasiveness,5281727.0
229626,pterostilbene,therapeutic,Neoplasm Metastasis,5281727.0
229779,pterostilbene,therapeutic,Osteosarcoma,5281727.0
229809,pterostilbene,therapeutic,Pancreatic Neoplasms,5281727.0
229826,pterostilbene,therapeutic,Papilloma,5281727.0
230149,pterostilbene,therapeutic,Skin Neoplasms,5281727.0
230377,resveratrol,therapeutic,Abdominal Injuries,445154.0
230378,trans-resveratrol,therapeutic,Abdominal Injuries,445154.0
230381,resveratrol,therapeutic,Aberrant Crypt Foci,445154.0
230382,trans-resveratrol,therapeutic,Aberrant Crypt Foci,445154.0
230623,resveratrol,therapeutic,Acute Kidney Injury,445154.0
230624,trans-resveratrol,therapeutic,Acute Kidney Injury,445154.0
230723,resveratrol,therapeutic,Acute Lung Injury,445154.0
230724,trans-resveratrol,therapeutic,Acute Lung Injury,445154.0
230757,resveratrol,therapeutic,Adenocarcinoma,445154.0
230758,trans-resveratrol,therapeutic,Adenocarcinoma,445154.0
230933,resveratrol,therapeutic,Adenocarcinoma of lung,445154.0
230934,trans-resveratrol,therapeutic,Adenocarcinoma of lung,445154.0
231013,resveratrol,therapeutic,Adenoma,445154.0
231014,trans-resveratrol,therapeutic,Adenoma,445154.0
231063,resveratrol,therapeutic,Adenomatous Polyposis Coli,445154.0
231064,trans-resveratrol,therapeutic,Adenomatous Polyposis Coli,445154.0
231081,resveratrol,therapeutic,Adrenal Cortex Diseases,445154.0
231082,trans-resveratrol,therapeutic,Adrenal Cortex Diseases,445154.0
231155,resveratrol,therapeutic,"Aging, Premature",445154.0
231156,trans-resveratrol,therapeutic,"Aging, Premature",445154.0
231195,resveratrol,therapeutic,Albuminuria,445154.0
231196,trans-resveratrol,therapeutic,Albuminuria,445154.0
231311,resveratrol,therapeutic,Alveolar Bone Loss,445154.0
231312,trans-resveratrol,therapeutic,Alveolar Bone Loss,445154.0
231319,resveratrol,therapeutic,Alzheimer Disease,445154.0
231320,trans-resveratrol,therapeutic,Alzheimer Disease,445154.0
231529,resveratrol,therapeutic,Amyotrophic Lateral Sclerosis,445154.0
231530,trans-resveratrol,therapeutic,Amyotrophic Lateral Sclerosis,445154.0
231611,resveratrol,therapeutic,Anaphylaxis,445154.0
231612,trans-resveratrol,therapeutic,Anaphylaxis,445154.0
231619,resveratrol,therapeutic,Anemia,445154.0
231620,trans-resveratrol,therapeutic,Anemia,445154.0
231777,resveratrol,therapeutic,Anophthalmos,445154.0
231778,trans-resveratrol,therapeutic,Anophthalmos,445154.0
231795,resveratrol,therapeutic,Anoxia,445154.0
231796,trans-resveratrol,therapeutic,Anoxia,445154.0
231901,resveratrol,therapeutic,"Aortic Aneurysm, Abdominal",445154.0
231902,trans-resveratrol,therapeutic,"Aortic Aneurysm, Abdominal",445154.0
232035,resveratrol,therapeutic,Arsenic Poisoning,445154.0
232036,trans-resveratrol,therapeutic,Arsenic Poisoning,445154.0
232119,resveratrol,therapeutic,"Arthritis, Experimental",445154.0
232120,trans-resveratrol,therapeutic,"Arthritis, Experimental",445154.0
232299,resveratrol,therapeutic,"Arthritis, Rheumatoid",445154.0
232300,trans-resveratrol,therapeutic,"Arthritis, Rheumatoid",445154.0
232521,resveratrol,therapeutic,Asthenozoospermia,445154.0
232522,trans-resveratrol,therapeutic,Asthenozoospermia,445154.0
232527,resveratrol,therapeutic,Asthma,445154.0
232528,trans-resveratrol,therapeutic,Asthma,445154.0
232691,resveratrol,therapeutic,Atherosclerosis,445154.0
232692,trans-resveratrol,therapeutic,Atherosclerosis,445154.0
233227,resveratrol,therapeutic,beta-Thalassemia,445154.0
233228,trans-resveratrol,therapeutic,beta-Thalassemia,445154.0
233395,resveratrol,therapeutic,Bone Marrow failure syndromes,445154.0
233396,trans-resveratrol,therapeutic,Bone Marrow failure syndromes,445154.0
233417,resveratrol,therapeutic,Bone Resorption,445154.0
233418,trans-resveratrol,therapeutic,Bone Resorption,445154.0
233447,resveratrol,therapeutic,Bradycardia,445154.0
233448,trans-resveratrol,therapeutic,Bradycardia,445154.0
233501,resveratrol,therapeutic,Brain Edema,445154.0
233502,trans-resveratrol,therapeutic,Brain Edema,445154.0
233515,resveratrol,therapeutic,Brain Infarction,445154.0
233516,trans-resveratrol,therapeutic,Brain Infarction,445154.0
233525,resveratrol,therapeutic,Brain Injuries,445154.0
233526,trans-resveratrol,therapeutic,Brain Injuries,445154.0
233607,resveratrol,therapeutic,Brain Ischemia,445154.0
233608,trans-resveratrol,therapeutic,Brain Ischemia,445154.0
233765,resveratrol,therapeutic,Breast Neoplasms,445154.0
233766,trans-resveratrol,therapeutic,Breast Neoplasms,445154.0
234535,resveratrol,therapeutic,Carcinoma,445154.0
234536,trans-resveratrol,therapeutic,Carcinoma,445154.0
234847,resveratrol,therapeutic,"Carcinoma, Ductal",445154.0
234848,trans-resveratrol,therapeutic,"Carcinoma, Ductal",445154.0
234871,resveratrol,therapeutic,"Carcinoma, Ehrlich Tumor",445154.0
234872,trans-resveratrol,therapeutic,"Carcinoma, Ehrlich Tumor",445154.0
234873,resveratrol,therapeutic,"Carcinoma, Hepatocellular",445154.0
234874,trans-resveratrol,therapeutic,"Carcinoma, Hepatocellular",445154.0
235191,resveratrol,therapeutic,"Carcinoma, Lewis Lung",445154.0
235192,trans-resveratrol,therapeutic,"Carcinoma, Lewis Lung",445154.0
235203,resveratrol,therapeutic,"Carcinoma, Merkel Cell",445154.0
235204,trans-resveratrol,therapeutic,"Carcinoma, Merkel Cell",445154.0
235209,resveratrol,therapeutic,"Carcinoma, Non-Small-Cell Lung",445154.0
235210,trans-resveratrol,therapeutic,"Carcinoma, Non-Small-Cell Lung",445154.0
235363,resveratrol,therapeutic,"Carcinoma, Renal Cell",445154.0
235364,trans-resveratrol,therapeutic,"Carcinoma, Renal Cell",445154.0
235491,resveratrol,therapeutic,"Carcinoma, Squamous Cell",445154.0
235492,trans-resveratrol,therapeutic,"Carcinoma, Squamous Cell",445154.0
235635,resveratrol,therapeutic,"Carcinoma, squamous cell of head and neck",445154.0
235636,trans-resveratrol,therapeutic,"Carcinoma, squamous cell of head and neck",445154.0
235743,resveratrol,therapeutic,Cardiomegaly,445154.0
235744,trans-resveratrol,therapeutic,Cardiomegaly,445154.0
235849,resveratrol,therapeutic,Cardiomyopathies,445154.0
235850,trans-resveratrol,therapeutic,Cardiomyopathies,445154.0
235949,resveratrol,therapeutic,"Cardiomyopathy, Dilated",445154.0
235950,trans-resveratrol,therapeutic,"Cardiomyopathy, Dilated",445154.0
236053,resveratrol,therapeutic,"Cardiomyopathy, Hypertrophic",445154.0
236054,trans-resveratrol,therapeutic,"Cardiomyopathy, Hypertrophic",445154.0
236093,resveratrol,therapeutic,Cardiotoxicity,445154.0
236094,trans-resveratrol,therapeutic,Cardiotoxicity,445154.0
236105,resveratrol,therapeutic,Cardiovascular Diseases,445154.0
236106,trans-resveratrol,therapeutic,Cardiovascular Diseases,445154.0
236183,resveratrol,therapeutic,Carotid Artery Injuries,445154.0
236184,trans-resveratrol,therapeutic,Carotid Artery Injuries,445154.0
236193,resveratrol,therapeutic,Cartilage Diseases,445154.0
236194,trans-resveratrol,therapeutic,Cartilage Diseases,445154.0
236201,resveratrol,therapeutic,Catalepsy,445154.0
236202,trans-resveratrol,therapeutic,Catalepsy,445154.0
236267,resveratrol,therapeutic,"Cell Transformation, Neoplastic",445154.0
236268,trans-resveratrol,therapeutic,"Cell Transformation, Neoplastic",445154.0
236509,resveratrol,therapeutic,Cerebral Infarction,445154.0
236510,trans-resveratrol,therapeutic,Cerebral Infarction,445154.0
236539,resveratrol,therapeutic,"Ceroid lipofuscinosis, neuronal 1, infantile",445154.0
236540,trans-resveratrol,therapeutic,"Ceroid lipofuscinosis, neuronal 1, infantile",445154.0
236695,resveratrol,therapeutic,Cholestasis,445154.0
236696,trans-resveratrol,therapeutic,Cholestasis,445154.0
236827,resveratrol,therapeutic,Choroidal Neovascularization,445154.0
236828,trans-resveratrol,therapeutic,Choroidal Neovascularization,445154.0
236883,resveratrol,therapeutic,Chronobiology Disorders,445154.0
236884,trans-resveratrol,therapeutic,Chronobiology Disorders,445154.0
237071,resveratrol,therapeutic,Cognition Disorders,445154.0
237072,trans-resveratrol,therapeutic,Cognition Disorders,445154.0
237119,resveratrol,therapeutic,Colitis,445154.0
237120,trans-resveratrol,therapeutic,Colitis,445154.0
237161,resveratrol,therapeutic,"Colitis, Ulcerative",445154.0
237162,trans-resveratrol,therapeutic,"Colitis, Ulcerative",445154.0
237207,resveratrol,therapeutic,Colonic Neoplasms,445154.0
237208,trans-resveratrol,therapeutic,Colonic Neoplasms,445154.0
237395,resveratrol,therapeutic,Colonic Polyps,445154.0
237396,trans-resveratrol,therapeutic,Colonic Polyps,445154.0
237401,resveratrol,therapeutic,Colorectal Neoplasms,445154.0
237402,trans-resveratrol,therapeutic,Colorectal Neoplasms,445154.0
237761,resveratrol,therapeutic,Coronary Artery Disease,445154.0
237762,trans-resveratrol,therapeutic,Coronary Artery Disease,445154.0
237829,resveratrol,therapeutic,Coronary Disease,445154.0
237830,trans-resveratrol,therapeutic,Coronary Disease,445154.0
238191,resveratrol,therapeutic,Death,445154.0
238192,trans-resveratrol,therapeutic,Death,445154.0
238237,resveratrol,therapeutic,Depressive Disorder,445154.0
238238,trans-resveratrol,therapeutic,Depressive Disorder,445154.0
238553,resveratrol,therapeutic,Diabetes Complications,445154.0
238554,trans-resveratrol,therapeutic,Diabetes Complications,445154.0
238587,resveratrol,therapeutic,Diabetes Mellitus,445154.0
238588,trans-resveratrol,therapeutic,Diabetes Mellitus,445154.0
238629,resveratrol,therapeutic,"Diabetes Mellitus, Experimental",445154.0
238630,trans-resveratrol,therapeutic,"Diabetes Mellitus, Experimental",445154.0
238843,resveratrol,therapeutic,"Diabetes Mellitus, Type 1",445154.0
238844,trans-resveratrol,therapeutic,"Diabetes Mellitus, Type 1",445154.0
238903,resveratrol,therapeutic,"Diabetes Mellitus, Type 2",445154.0
238904,trans-resveratrol,therapeutic,"Diabetes Mellitus, Type 2",445154.0
239055,resveratrol,therapeutic,Diabetic Angiopathies,445154.0
239056,trans-resveratrol,therapeutic,Diabetic Angiopathies,445154.0
239081,resveratrol,therapeutic,Diabetic Cardiomyopathies,445154.0
239082,trans-resveratrol,therapeutic,Diabetic Cardiomyopathies,445154.0
239103,resveratrol,therapeutic,Diabetic Nephropathies,445154.0
239104,trans-resveratrol,therapeutic,Diabetic Nephropathies,445154.0
239149,resveratrol,therapeutic,Diabetic Neuropathies,445154.0
239150,trans-resveratrol,therapeutic,Diabetic Neuropathies,445154.0
239173,resveratrol,therapeutic,Diabetic Retinopathy,445154.0
239174,trans-resveratrol,therapeutic,Diabetic Retinopathy,445154.0
239215,resveratrol,therapeutic,"Disease Models, Animal",445154.0
239216,trans-resveratrol,therapeutic,"Disease Models, Animal",445154.0
239293,resveratrol,therapeutic,Disease Progression,445154.0
239294,trans-resveratrol,therapeutic,Disease Progression,445154.0
239541,resveratrol,therapeutic,Drug-Induced Liver Injury,445154.0
239542,trans-resveratrol,therapeutic,Drug-Induced Liver Injury,445154.0
239811,resveratrol,therapeutic,Drug-Related Side Effects and Adverse Reactions,445154.0
239812,trans-resveratrol,therapeutic,Drug-Related Side Effects and Adverse Reactions,445154.0
239949,resveratrol,therapeutic,Dyslipidemias,445154.0
239950,trans-resveratrol,therapeutic,Dyslipidemias,445154.0
240019,resveratrol,therapeutic,Edema,445154.0
240020,trans-resveratrol,therapeutic,Edema,445154.0
240059,resveratrol,therapeutic,"Edema, Cardiac",445154.0
240060,trans-resveratrol,therapeutic,"Edema, Cardiac",445154.0
240085,resveratrol,therapeutic,Embolism and Thrombosis,445154.0
240086,trans-resveratrol,therapeutic,Embolism and Thrombosis,445154.0
240117,resveratrol,therapeutic,"Encephalomyelitis, Autoimmune, Experimental",445154.0
240118,trans-resveratrol,therapeutic,"Encephalomyelitis, Autoimmune, Experimental",445154.0
240221,resveratrol,therapeutic,Endometriosis,445154.0
240222,trans-resveratrol,therapeutic,Endometriosis,445154.0
240375,resveratrol,therapeutic,Endomyocardial Fibrosis,445154.0
240376,trans-resveratrol,therapeutic,Endomyocardial Fibrosis,445154.0
240387,resveratrol,therapeutic,Endotoxemia,445154.0
240388,trans-resveratrol,therapeutic,Endotoxemia,445154.0
240423,resveratrol,therapeutic,"Enterocolitis, Necrotizing",445154.0
240424,trans-resveratrol,therapeutic,"Enterocolitis, Necrotizing",445154.0
